image_path,xmin,xmax,ymin,ymax,label
1000_1500_1200_2200_region.png,90,139,281,327,Tree
1000_1500_1200_2200_region.png,126,145,196,211,Tree
1000_1500_1200_2200_region.png,146,164,260,277,Tree
1000_1500_1200_2200_region.png,357,400,142,171,Tree
1000_1500_1200_2200_region.png,411,454,105,142,Tree
1000_1500_1200_2200_region.png,387,434,33,70,Tree
1000_1500_1200_2200_region.png,611,637,136,158,Tree
1000_1500_1200_2200_region.png,662,679,116,136,Tree
1000_1500_1200_2200_region.png,535,558,113,142,Tree
1000_1500_1200_2200_region.png,565,589,121,152,Tree
1000_1500_1200_2200_region.png,80,112,145,168,Tree
1000_1500_1200_2200_region.png,166,212,78,121,Tree
1000_1500_1200_2200_region.png,165,201,131,162,Tree
1000_1500_1200_2200_region.png,233,270,131,169,Tree
1000_1500_1200_2200_region.png,212,242,105,136,Tree
1000_1500_1200_2200_region.png,250,279,58,101,Tree
1000_1500_1200_2200_region.png,146,192,42,72,Tree
1000_1500_1200_2200_region.png,208,256,6,45,Tree
1000_1500_1200_2200_region.png,2,26,165,198,Tree
1000_1500_1200_2200_region.png,44,73,285,316,Tree
1000_1500_1200_2200_region.png,325,357,107,152,Tree
1000_1500_1200_2200_region.png,334,377,67,104,Tree
1000_1500_1200_2200_region.png,326,354,35,72,Tree
1000_1500_1200_2200_region.png,284,317,48,66,Tree
1000_1500_1200_2200_region.png,395,434,0,22,Tree
1000_1500_1200_2200_region.png,627,649,27,55,Tree
1000_1500_1200_2200_region.png,31,52,383,409,Tree
1000_1500_1200_2200_region.png,53,69,364,385,Tree
1000_1500_1200_2200_region.png,78,93,377,402,Tree
1000_1500_1200_2200_region.png,98,129,390,413,Tree
1000_1500_1200_2200_region.png,221,249,305,334,Tree
1000_1500_1200_2200_region.png,254,281,303,340,Tree
1000_1500_1200_2200_region.png,180,203,325,350,Tree
1000_1500_1200_2200_region.png,137,166,382,411,Tree
1000_1500_1200_2200_region.png,178,211,389,414,Tree
1000_1500_1200_2200_region.png,215,242,380,405,Tree
