image_path,xmin,xmax,ymin,ymax,label
1000_1500_7200_8200_region_1.png,105,144,96,127,Tree
1000_1500_7200_8200_region_2.png,105,144,0,14,Tree
1000_1500_7200_8200_region_5.png,51,91,127,150,Tree
1000_1500_7200_8200_region_6.png,75,119,42,70,Tree
1000_1500_7200_8200_region_6.png,90,131,72,108,Tree
1000_1500_7200_8200_region_6.png,51,91,14,41,Tree
1000_1500_7200_8200_region_6.png,110,150,113,149,Tree
1000_1500_7200_8200_region_6.png,0,31,96,127,Tree
1000_1500_7200_8200_region_7.png,110,150,0,36,Tree
1000_1500_7200_8200_region_7.png,0,31,0,14,Tree
1000_1500_7200_8200_region_11.png,74,108,119,150,Tree
1000_1500_7200_8200_region_11.png,147,150,102,136,Tree
1000_1500_7200_8200_region_11.png,0,6,42,70,Tree
1000_1500_7200_8200_region_11.png,0,18,72,108,Tree
1000_1500_7200_8200_region_11.png,46,98,78,109,Tree
1000_1500_7200_8200_region_11.png,0,37,113,149,Tree
1000_1500_7200_8200_region_11.png,111,145,110,150,Tree
1000_1500_7200_8200_region_12.png,87,144,106,150,Tree
1000_1500_7200_8200_region_12.png,55,101,54,94,Tree
1000_1500_7200_8200_region_12.png,74,108,6,45,Tree
1000_1500_7200_8200_region_12.png,147,150,0,23,Tree
1000_1500_7200_8200_region_12.png,0,37,0,36,Tree
1000_1500_7200_8200_region_12.png,111,145,0,37,Tree
1000_1500_7200_8200_region_13.png,87,144,0,40,Tree
1000_1500_7200_8200_region_14.png,87,144,0,29,Tree
1000_1500_7200_8200_region_15.png,66,100,82,117,Tree
1000_1500_7200_8200_region_15.png,55,97,29,73,Tree
1000_1500_7200_8200_region_16.png,128,150,113,150,Tree
1000_1500_7200_8200_region_16.png,34,66,102,136,Tree
1000_1500_7200_8200_region_16.png,75,106,108,143,Tree
1000_1500_7200_8200_region_16.png,66,100,0,4,Tree
1000_1500_7200_8200_region_16.png,0,32,110,150,Tree
1000_1500_7200_8200_region_17.png,128,150,0,47,Tree
1000_1500_7200_8200_region_17.png,132,150,52,96,Tree
1000_1500_7200_8200_region_17.png,137,150,106,150,Tree
1000_1500_7200_8200_region_17.png,62,120,149,150,Tree
1000_1500_7200_8200_region_17.png,0,31,106,150,Tree
1000_1500_7200_8200_region_17.png,34,66,0,23,Tree
1000_1500_7200_8200_region_17.png,42,72,51,84,Tree
1000_1500_7200_8200_region_17.png,82,113,46,80,Tree
1000_1500_7200_8200_region_17.png,75,106,0,30,Tree
1000_1500_7200_8200_region_17.png,0,32,0,37,Tree
1000_1500_7200_8200_region_18.png,137,150,0,51,Tree
1000_1500_7200_8200_region_18.png,62,120,36,74,Tree
1000_1500_7200_8200_region_18.png,0,31,0,40,Tree
1000_1500_7200_8200_region_19.png,137,150,0,40,Tree
1000_1500_7200_8200_region_19.png,62,120,25,63,Tree
1000_1500_7200_8200_region_19.png,0,31,0,29,Tree
1000_1500_7200_8200_region_20.png,40,75,40,75,Tree
1000_1500_7200_8200_region_20.png,122,150,35,65,Tree
1000_1500_7200_8200_region_21.png,15,60,113,150,Tree
1000_1500_7200_8200_region_22.png,15,60,0,47,Tree
1000_1500_7200_8200_region_22.png,19,47,52,96,Tree
1000_1500_7200_8200_region_22.png,24,57,106,150,Tree
1000_1500_7200_8200_region_23.png,24,57,0,51,Tree
1000_1500_7200_8200_region_24.png,24,57,0,40,Tree
1000_1500_7200_8200_region_25.png,9,40,35,65,Tree
1000_1500_7200_8200_region_25.png,57,100,35,74,Tree
1000_1500_7200_8200_region_25.png,112,139,38,72,Tree
1000_1500_7200_8200_region_25.png,118,150,75,104,Tree
1000_1500_7200_8200_region_25.png,124,150,1,33,Tree
1000_1500_7200_8200_region_25.png,79,122,4,34,Tree
1000_1500_7200_8200_region_30.png,28,90,118,150,Tree
1000_1500_7200_8200_region_30.png,0,26,38,72,Tree
1000_1500_7200_8200_region_30.png,5,50,75,104,Tree
1000_1500_7200_8200_region_30.png,39,74,36,75,Tree
1000_1500_7200_8200_region_30.png,98,142,20,61,Tree
1000_1500_7200_8200_region_30.png,11,48,1,33,Tree
1000_1500_7200_8200_region_30.png,0,9,4,34,Tree
1000_1500_7200_8200_region_31.png,28,90,5,56,Tree
1000_1500_7200_8200_region_35.png,0,29,20,61,Tree
1000_1500_10200_11200_region_0.png,123,145,112,137,Tree
1000_1500_10200_11200_region_0.png,114,134,86,105,Tree
1000_1500_10200_11200_region_0.png,114,138,2,32,Tree
1000_1500_10200_11200_region_0.png,8,36,45,71,Tree
1000_1500_10200_11200_region_1.png,123,145,0,24,Tree
1000_1500_10200_11200_region_2.png,138,150,41,63,Tree
1000_1500_10200_11200_region_5.png,10,32,112,137,Tree
1000_1500_10200_11200_region_5.png,1,21,86,105,Tree
1000_1500_10200_11200_region_5.png,1,25,2,32,Tree
1000_1500_10200_11200_region_6.png,10,32,0,24,Tree
1000_1500_10200_11200_region_6.png,52,90,128,150,Tree
1000_1500_10200_11200_region_7.png,25,52,41,63,Tree
1000_1500_10200_11200_region_7.png,52,90,15,38,Tree
1000_1500_10200_11200_region_15.png,97,124,51,77,Tree
1000_1500_10200_11200_region_15.png,100,123,1,17,Tree
1000_1500_10200_11200_region_20.png,0,11,51,77,Tree
1000_1500_10200_11200_region_20.png,0,10,1,17,Tree
1000_1500_10200_11200_region_21.png,134,150,51,78,Tree
1000_1500_10200_11200_region_21.png,101,123,50,68,Tree
1000_1500_10200_11200_region_21.png,76,88,55,66,Tree
1000_1500_10200_11200_region_26.png,109,140,46,83,Tree
1000_1500_10200_11200_region_26.png,21,47,51,78,Tree
1000_1500_10200_11200_region_26.png,0,10,50,68,Tree
1000_1500_10200_11200_region_31.png,0,27,46,83,Tree
1000_1500_8200_9200_region_0.png,14,47,5,37,Tree
1000_1500_8200_9200_region_10.png,56,79,20,53,Tree
1000_1500_8200_9200_region_10.png,111,140,121,141,Tree
1000_1500_8200_9200_region_10.png,107,134,87,111,Tree
1000_1500_8200_9200_region_10.png,139,150,54,86,Tree
1000_1500_8200_9200_region_10.png,107,144,5,42,Tree
1000_1500_8200_9200_region_11.png,115,150,40,66,Tree
1000_1500_8200_9200_region_11.png,111,140,8,28,Tree
1000_1500_8200_9200_region_12.png,102,149,42,79,Tree
1000_1500_8200_9200_region_15.png,0,27,121,141,Tree
1000_1500_8200_9200_region_15.png,0,21,87,111,Tree
1000_1500_8200_9200_region_15.png,50,89,126,150,Tree
1000_1500_8200_9200_region_15.png,124,149,93,119,Tree
1000_1500_8200_9200_region_15.png,101,131,8,34,Tree
1000_1500_8200_9200_region_15.png,56,88,7,40,Tree
1000_1500_8200_9200_region_15.png,26,52,54,86,Tree
1000_1500_8200_9200_region_15.png,0,31,5,42,Tree
1000_1500_8200_9200_region_16.png,111,139,136,150,Tree
1000_1500_8200_9200_region_16.png,130,149,112,131,Tree
1000_1500_8200_9200_region_16.png,45,71,86,110,Tree
1000_1500_8200_9200_region_16.png,86,120,87,122,Tree
1000_1500_8200_9200_region_16.png,2,40,40,66,Tree
1000_1500_8200_9200_region_16.png,0,27,8,28,Tree
1000_1500_8200_9200_region_16.png,115,150,46,83,Tree
1000_1500_8200_9200_region_16.png,50,89,13,39,Tree
